series,scenario,die,avg_c,max_c
A,s2_phy_heavy,dram_die_1,179.71300000000002,214.81800000000004
A,s2_phy_heavy,bump_layer_2,179.495,214.209
A,s2_phy_heavy,dram_die_2,179.276,213.60000000000002
A,s2_phy_heavy,bump_layer_3,179.03700000000003,213.01500000000004
A,s2_phy_heavy,dram_die_3,178.798,212.43100000000004
A,s2_phy_heavy,bump_layer_4,178.53900000000004,211.87100000000004
A,s2_phy_heavy,dram_die_4,178.28000000000003,211.31100000000004
A,s2_phy_heavy,bump_layer_5,178.00100000000003,210.774
A,s2_phy_heavy,dram_die_5,177.72200000000004,210.238
A,s2_phy_heavy,bump_layer_6,177.42200000000003,209.72500000000002
A,s2_phy_heavy,dram_die_6,177.122,209.21200000000005
A,s2_phy_heavy,bump_layer_7,176.803,208.72200000000004
A,s2_phy_heavy,dram_die_7,176.483,208.23200000000003
A,s2_phy_heavy,top_die,176.40500000000003,208.12600000000003
A,s2_phy_heavy,EMC,162.72700000000003,191.247
A,s2_phy_heavy,base_die_phy,212.24,216.20500000000004
A,s2_phy_heavy,base_die_tsva,175.07300000000004,198.483
A,s2_phy_heavy,base_die_da,159.34300000000002,159.83700000000005
B,s0_uniform,bump_layer_1,101.007,101.007
B,s0_uniform,dram_die_1,101.01000000000005,101.01000000000005
B,s0_uniform,bump_layer_2,100.993,100.993
B,s0_uniform,dram_die_2,100.976,100.976
B,s0_uniform,bump_layer_3,100.93900000000002,100.93900000000002
B,s0_uniform,dram_die_3,100.90100000000001,100.90100000000001
B,s0_uniform,bump_layer_4,100.84400000000005,100.84400000000005
B,s0_uniform,dram_die_4,100.786,100.786
B,s0_uniform,bump_layer_5,100.70800000000003,100.70800000000003
B,s0_uniform,dram_die_5,100.63,100.63
B,s0_uniform,bump_layer_6,100.53200000000004,100.53200000000004
B,s0_uniform,dram_die_6,100.43400000000003,100.43400000000003
B,s0_uniform,bump_layer_7,100.31600000000003,100.31600000000003
B,s0_uniform,dram_die_7,100.197,100.197
B,s0_uniform,top_die,100.166,100.166
B,s0_uniform,EMC,94.132,94.132
B,s0_uniform,base_die_phy,101.00400000000002,101.00400000000002
B,s0_uniform,base_die_tsva,101.00400000000002,101.00400000000002
B,s0_uniform,base_die_da,101.00400000000002,101.00400000000002
B,s1_phy_moderate,bump_layer_1,101.007,117.35300000000001
B,s1_phy_moderate,dram_die_1,101.01000000000005,117.14300000000003
B,s1_phy_moderate,bump_layer_2,100.993,116.935
B,s1_phy_moderate,dram_die_2,100.976,116.72700000000003
B,s1_phy_moderate,bump_layer_3,100.93900000000002,116.52000000000004
B,s1_phy_moderate,dram_die_3,100.90100000000001,116.31400000000002
B,s1_phy_moderate,bump_layer_4,100.84400000000005,116.11000000000001
B,s1_phy_moderate,dram_die_4,100.786,115.90500000000003
B,s1_phy_moderate,bump_layer_5,100.70800000000003,115.70300000000003
B,s1_phy_moderate,dram_die_5,100.63,115.5
B,s1_phy_moderate,bump_layer_6,100.53200000000004,115.29900000000004
B,s1_phy_moderate,dram_die_6,100.43400000000003,115.09800000000001
B,s1_phy_moderate,bump_layer_7,100.31600000000003,114.89800000000002
B,s1_phy_moderate,dram_die_7,100.197,114.69800000000004
B,s1_phy_moderate,top_die,100.166,114.65300000000002
B,s1_phy_moderate,EMC,94.132,107.15700000000004
B,s1_phy_moderate,base_die_phy,115.60400000000004,117.57000000000005
B,s1_phy_moderate,base_die_tsva,98.399,108.536
B,s1_phy_moderate,base_die_da,92.82400000000001,92.92900000000003
B,s2_phy_heavy,bump_layer_1,101.007,128.49900000000002
B,s2_phy_heavy,dram_die_1,101.01000000000005,128.14800000000002
B,s2_phy_heavy,bump_layer_2,100.993,127.81300000000005
B,s2_phy_heavy,dram_die_2,100.976,127.47800000000001
B,s2_phy_heavy,bump_layer_3,100.93900000000002,127.15900000000005
B,s2_phy_heavy,dram_die_3,100.90100000000001,126.84100000000001
B,s2_phy_heavy,bump_layer_4,100.84400000000005,126.53900000000004
B,s2_phy_heavy,dram_die_4,100.786,126.23700000000002
B,s2_phy_heavy,bump_layer_5,100.70800000000003,125.95100000000002
B,s2_phy_heavy,dram_die_5,100.63,125.66500000000002
B,s2_phy_heavy,bump_layer_6,100.53200000000004,125.39500000000004
B,s2_phy_heavy,dram_die_6,100.43400000000003,125.125
B,s2_phy_heavy,bump_layer_7,100.31600000000003,124.87
B,s2_phy_heavy,dram_die_7,100.197,124.61600000000004
B,s2_phy_heavy,top_die,100.166,124.56200000000001
B,s2_phy_heavy,EMC,94.132,116.06600000000003
B,s2_phy_heavy,base_die_phy,125.601,128.86400000000003
B,s2_phy_heavy,base_die_tsva,96.774,113.88100000000003
B,s2_phy_heavy,base_die_da,86.53400000000005,86.82400000000001
